    um         	pN
8.203671e-002	-6.281889e+002
8.268747e-002	-6.275414e+002
8.347365e-002	-6.263541e+002
8.436815e-002	-6.247352e+002
8.550636e-002	-6.221450e+002
8.661750e-002	-6.196627e+002
8.667249e-002	-6.213895e+002
8.741804e-002	-6.203642e+002
8.851565e-002	-6.179358e+002
8.866542e-002	-6.192849e+002
8.973594e-002	-6.169645e+002
9.006173e-002	-6.176121e+002
9.107809e-002	-6.155075e+002
9.145806e-002	-6.159392e+002
9.223069e-002	-6.148059e+002
9.301686e-002	-6.136188e+002
9.354577e-002	-6.134568e+002
9.510374e-002	-6.091938e+002
9.511811e-002	-6.110825e+002
9.625634e-002	-6.084922e+002
9.679877e-002	-6.082764e+002
9.742246e-002	-6.077367e+002
9.870962e-002	-6.045529e+002
9.968537e-002	-6.026102e+002
1.015141e-001	-5.972678e+002
1.027336e-001	-5.943538e+002
1.055779e-001	-5.849641e+002
1.064588e-001	-5.833992e+002
1.088834e-001	-5.756824e+002
1.092769e-001	-5.760601e+002
1.111734e-001	-5.704480e+002
1.118783e-001	-5.695845e+002
1.135717e-001	-5.647818e+002
1.151296e-001	-5.605187e+002
1.162002e-001	-5.581983e+002
1.185164e-001	-5.509132e+002
1.225658e-001	-5.367208e+002
1.242456e-001	-5.319720e+002
1.257900e-001	-5.277628e+002
1.265491e-001	-5.266836e+002
1.280258e-001	-5.227442e+002
1.292453e-001	-5.198302e+002
1.298013e-001	-5.195604e+002
1.314540e-001	-5.149196e+002
1.340952e-001	-5.063394e+002
1.353553e-001	-5.032634e+002
1.372653e-001	-4.975972e+002
1.387827e-001	-4.934960e+002
1.395959e-001	-4.922009e+002
1.409779e-001	-4.886394e+002
1.421973e-001	-4.857253e+002
1.425773e-001	-4.861570e+002
1.440405e-001	-4.822716e+002
1.449756e-001	-4.804909e+002
1.457482e-001	-4.793576e+002
1.468864e-001	-4.767673e+002
1.479028e-001	-4.746628e+002
1.491223e-001	-4.717488e+002
1.490283e-001	-4.740692e+002
1.496249e-001	-4.736375e+002
1.500320e-001	-4.739613e+002
1.509265e-001	-4.723423e+002
1.510085e-001	-4.739613e+002
1.516187e-001	-4.734756e+002
1.515518e-001	-4.756881e+002
1.525275e-001	-4.737454e+002
1.531512e-001	-4.732058e+002
1.534229e-001	-4.740692e+002
