    um         	pN
1.376487e+000	-7.817150e+002
1.375444e+000	-7.839275e+002
1.374454e+000	-7.859242e+002
1.373668e+000	-7.871114e+002
1.372341e+000	-7.904571e+002
1.371392e+000	-7.922918e+002
1.370904e+000	-7.922918e+002
1.370889e+000	-7.904031e+002
1.372121e+000	-7.835498e+002
1.372539e+000	-7.799342e+002
1.372159e+000	-7.795025e+002
1.371915e+000	-7.785311e+002
1.371318e+000	-7.789628e+002
1.370492e+000	-7.803119e+002
1.368757e+000	-7.852766e+002
1.366658e+000	-7.916983e+002
1.365019e+000	-7.962851e+002
1.364273e+000	-7.973104e+002
1.364949e+000	-7.926696e+002
1.364949e+000	-7.907269e+002
1.365855e+000	-7.851687e+002
1.366531e+000	-7.805278e+002
1.366341e+000	-7.793406e+002
1.365785e+000	-7.796104e+002
1.364592e+000	-7.824165e+002
1.363441e+000	-7.850607e+002
1.362262e+000	-7.878129e+002
1.361408e+000	-7.892699e+002
1.360798e+000	-7.897555e+002
1.359727e+000	-7.920760e+002
1.359564e+000	-7.907809e+002
1.359942e+000	-7.873272e+002
1.360876e+000	-7.816610e+002
1.361281e+000	-7.780995e+002
1.360292e+000	-7.800961e+002
1.359045e+000	-7.831181e+002
1.357934e+000	-7.856004e+002
1.357270e+000	-7.863019e+002
1.356294e+000	-7.882446e+002
1.354641e+000	-7.928854e+002
1.353625e+000	-7.949900e+002
1.352514e+000	-7.974723e+002
1.352486e+000	-7.956376e+002
1.352999e+000	-7.916443e+002
1.353581e+000	-7.873812e+002
1.354460e+000	-7.819309e+002
